Index,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
15,9.90333055679593E-03,2.45887777769072E-02,1.51826869609206E-02,1.29911479419684E-02,3.37300197030888E-03,9.48954595225304E-03,1.18395516060661E-02,1.59980462432574E-02,2.47498434211428E-02,1.09236940127146E-02
16,1.00115882389666E-02,2.34331350070032E-02,1.1640388548986E-02,2.04386562157068E-02,1.82302373197274E-09,9.75625755213327E-03,1.80761111175007E-02,1.92157666987645E-02,3.0583368059892E-02,1.2928672010533E-03
17,1.95087206190607E-02,1.39986677014061E-02,1.81509114964971E-02,1.19267742065434E-02,6.9527341362996E-03,1.3356838916057E-02,7.53459658357447E-03,1.02727516189383E-02,2.21695443999472E-02,4.35711086559531E-03
18,1.24436130974321E-02,2.05425510270307E-02,1.62735014197897E-02,1.62025807989032E-02,2.58108945345481E-03,1.58543435641048E-02,1.13360472643709E-02,1.12252574691696E-02,8.05895401984306E-04,-2.19397211774409E-02
19,1.28154329507184E-02,1.27522211861697E-02,1.23469386361574E-02,1.37227478214703E-02,2.54416050686466E-02,1.58467807878648E-02,7.61145219159376E-03,1.22224332263468E-02,1.45823109678295E-02,3.69093160253848E-04
20,1.39700426112623E-02,1.57786470789405E-02,2.3658799227392E-02,1.10219040014896E-02,5.04286770236329E-03,7.81858458156259E-03,4.05859439983436E-03,2.2770498720629E-02,2.53177840239315E-02,1.03577825581212E-02
21,1.65066482588976E-02,1.43502533310933E-02,1.39432393128871E-02,1.54927951454213E-02,1.45449289851955E-02,1.16891889050894E-02,7.83587540686592E-03,1.11555345725503E-02,1.2716921321533E-02,-1.69953108104611E-02
22,1.59140670642686E-02,5.73602576082854E-03,2.54065926307685E-02,1.53152689194664E-02,1.91844659779608E-02,1.40400245035079E-02,9.73510224365359E-03,1.03038184998578E-02,9.16831565139673E-03,-6.68521088976256E-03
23,1.03558663210419E-02,1.97730609103037E-02,1.48713972932133E-02,1.35304130149063E-02,1.2612909345973E-02,1.14747034132912E-02,1.38772388383555E-02,1.29686313941675E-02,1.10928394397475E-02,6.31836581180549E-03
24,1.61242637838408E-02,1.94903136686164E-02,1.81468471053035E-02,1.36269950310772E-02,2.70323163853448E-09,1.00914523595415E-02,4.0224762117298E-03,1.61593492304719E-02,1.20036565839558E-02,8.36334019464171E-05
